Group 1,Group 2,H,p-value,q-value
control (n=24),donor (n=1),1.2307692307692406,0.26725749315438274,0.4008862397315741
control (n=24),treatment (n=52),1.2992007992008041,0.25435925842694956,0.4008862397315741
donor (n=1),treatment (n=52),0.6153846153846416,0.43276758066777476,0.43276758066777476
