Group 1,Group 2,H,p-value,q-value
fmt-material (n=1),stool (n=6),1.0,0.31731050786291115,0.3797754748409399
fmt-material (n=1),swab (n=70),0.7714285714286007,0.3797754748409399,0.3797754748409399
stool (n=6),swab (n=70),3.636734693877571,0.056517678055076966,0.1695530341652309
